22:24:38.709 [ApplicationImpl pooled thread 39] INFO  com.browserstack.sdk.utils.Helpers - null
22:24:38.710 [ApplicationImpl pooled thread 39] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:26:56.980 [ApplicationImpl pooled thread 45] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:26:56.981 [ApplicationImpl pooled thread 45] INFO  com.browserstack.sdk.utils.Helpers - null
22:26:56.981 [ApplicationImpl pooled thread 45] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:23:52.911 [ApplicationImpl pooled thread 25] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:23:52.913 [ApplicationImpl pooled thread 25] INFO  com.browserstack.sdk.utils.Helpers - null
22:23:52.914 [ApplicationImpl pooled thread 25] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:24:11.903 [ApplicationImpl pooled thread 25] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:24:11.903 [ApplicationImpl pooled thread 25] INFO  com.browserstack.sdk.utils.Helpers - null
22:24:11.906 [ApplicationImpl pooled thread 25] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:25:37.251 [ApplicationImpl pooled thread 24] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:25:37.251 [ApplicationImpl pooled thread 24] INFO  com.browserstack.sdk.utils.Helpers - null
22:25:37.251 [ApplicationImpl pooled thread 24] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:25:44.011 [ApplicationImpl pooled thread 24] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:25:44.013 [ApplicationImpl pooled thread 24] INFO  com.browserstack.sdk.utils.Helpers - null
22:25:44.013 [ApplicationImpl pooled thread 24] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:26:20.138 [ApplicationImpl pooled thread 29] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:26:20.138 [ApplicationImpl pooled thread 29] INFO  com.browserstack.sdk.utils.Helpers - null
22:26:20.139 [ApplicationImpl pooled thread 29] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:27:33.537 [ApplicationImpl pooled thread 23] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:27:33.538 [ApplicationImpl pooled thread 23] INFO  com.browserstack.sdk.utils.Helpers - null
22:27:33.538 [ApplicationImpl pooled thread 23] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:29:02.685 [ApplicationImpl pooled thread 28] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:29:02.686 [ApplicationImpl pooled thread 28] INFO  com.browserstack.sdk.utils.Helpers - null
22:29:02.686 [ApplicationImpl pooled thread 28] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:36:13.914 [ApplicationImpl pooled thread 28] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:36:13.914 [ApplicationImpl pooled thread 28] INFO  com.browserstack.sdk.utils.Helpers - null
22:36:13.914 [ApplicationImpl pooled thread 28] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:46:43.192 [ApplicationImpl pooled thread 31] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:46:43.192 [ApplicationImpl pooled thread 31] INFO  com.browserstack.sdk.utils.Helpers - null
22:46:43.192 [ApplicationImpl pooled thread 31] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
10:48:50.378 [ApplicationImpl pooled thread 22] INFO  c.b.s.l.BrowserStackRunExtension - testng
10:48:50.379 [ApplicationImpl pooled thread 22] INFO  com.browserstack.sdk.utils.Helpers - null
10:48:50.380 [ApplicationImpl pooled thread 22] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:19:17.065 [ApplicationImpl pooled thread 19] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:19:17.068 [ApplicationImpl pooled thread 19] INFO  com.browserstack.sdk.utils.Helpers - null
22:19:17.069 [ApplicationImpl pooled thread 19] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
